,value,set,sce
339,2.0,16,14
340,8.0,16,20
341,14.0,16,23
343,6.0,16,40
344,3.0,16,41
346,2.0,16,52
347,3.0,16,59
348,27.0,16,83
351,10.0,17,7
353,2.0,17,15
354,4.0,17,19
358,8.0,17,38
359,3.0,17,39
363,13.0,17,55
365,2.0,17,64
368,5.0,17,71
370,3.0,17,79
371,2.0,17,82
372,8.0,17,91
374,7.0,17,95
375,4.0,18,5
376,4.0,18,12
377,5.0,18,19
378,3.0,18,30
379,2.0,18,31
381,75.0,18,44
382,7.0,18,45
383,7.0,18,46
384,2.0,18,52
385,9.0,18,60
386,10.0,18,61
387,7.0,18,63
388,35.0,18,64
390,3.0,18,83
393,4.0,18,93
394,55.0,18,95
396,4.0,19,2
401,90.0,19,22
403,2.0,19,28
404,10.0,19,32
407,6.0,19,48
408,6.0,19,50
409,2.0,19,57
411,2.0,19,77
412,2.0,19,90
413,5.0,19,92
421,21.0,20,48
422,2.0,20,49
425,12.0,20,65
430,2.0,20,92
431,6.0,20,93
432,2.0,21,15
433,2.0,21,22
435,2.0,21,44
436,2.0,21,50
438,8.0,21,70
441,3.0,21,88
442,3.0,21,95
443,2.0,22,0
445,4.0,22,11
446,9.0,22,13
452,3.0,22,53
453,3.0,22,58
454,2.0,22,72
455,5.0,22,78
457,5.0,22,85
458,13.0,22,90
460,93.0,23,5
461,9.0,23,6
463,14.0,23,19
464,10.0,23,23
469,8.0,23,47
470,2.0,23,49
471,5.0,23,50
473,30.0,23,60
474,2.0,23,63
476,15.0,23,73
477,12.0,23,76
478,4.0,23,78
479,3.0,23,89
480,4.0,23,90
481,6.0,24,5
482,2.0,24,16
483,7.0,24,19
487,2.0,24,38
488,6.0,24,39
491,2.0,24,47
492,2.0,24,49
493,2.0,24,52
494,4.0,24,53
495,2.0,24,55
499,3.0,24,75
500,2.0,24,76
501,2.0,24,77
508,2.0,25,10
510,2.0,25,13
512,21.0,25,17
515,21.0,25,26
517,5.0,25,37
518,3.0,25,38
519,18.0,25,40
523,3.0,25,62
526,5.0,25,67
527,20.0,25,80
528,2.0,25,81
531,2.0,26,4
532,2.0,26,6
533,6.0,26,9
534,3.0,26,10
536,2.0,26,18
540,32.0,26,51
541,59.0,26,53
542,2.0,26,70
543,11.0,26,79
544,2.0,26,82
545,2.0,26,90
546,4.0,26,91
548,7.0,27,2
549,2.0,27,6
557,16.0,27,36
558,14.0,27,37
559,12.0,27,38
562,4.0,27,48
563,3.0,27,50
564,3.0,27,51
568,2.0,27,59
569,2.0,27,62
570,6.0,27,63
573,5.0,27,73
576,9.0,27,86
577,2.0,27,90
578,2.0,27,93
579,2.0,28,1
580,2.0,28,3
581,2.0,28,14
583,23.0,28,35
584,2.0,28,43
586,4.0,28,45
589,2.0,28,61
590,2.0,28,64
591,2.0,28,70
593,8.0,28,72
596,2.0,28,89
597,2.0,28,90
598,6.0,28,91
599,6.0,29,3
600,12.0,29,16
602,23.0,29,38
606,53.0,29,60
607,3.0,29,61
609,4.0,29,72
611,26.0,29,76
612,4.0,29,78
615,17.0,29,91
616,2.0,29,93
617,31.0,30,3
618,4.0,30,7
620,80.0,30,17
625,2.0,30,45
627,9.0,30,50
628,8.0,30,51
631,4.0,30,66
632,2.0,30,71
633,11.0,30,79
634,6.0,30,91
635,67.0,30,92
637,2.0,31,17
638,18.0,31,21
639,7.0,31,23
640,22.0,31,26
643,4.0,31,36
644,2.0,31,37
648,28.0,31,67
649,22.0,31,78
652,6.0,31,95
654,9.0,32,1
656,3.0,32,4
659,2.0,32,16
660,4.0,32,17
661,2.0,32,18
662,2.0,32,19
664,2.0,32,23
665,10.0,32,35
669,3.0,32,51
671,2.0,32,53
672,2.0,32,57
673,2.0,32,61
675,3.0,32,71
676,12.0,32,77
682,14.0,32,92
683,3.0,32,94
686,15.0,33,34
687,2.0,33,54
690,2.0,33,57
693,4.0,33,66
694,3.0,33,67
697,2.0,34,3
698,4.0,34,6
699,2.0,34,13
704,21.0,34,28
705,8.0,34,29
707,2.0,34,40
708,2.0,34,41
712,2.0,34,51
713,15.0,34,58
715,2.0,34,74
716,8.0,34,75
718,4.0,34,77
720,2.0,34,90
721,12.0,34,95
722,5.0,35,2
723,39.0,35,6
724,11.0,35,8
726,2.0,35,24
729,25.0,35,40
730,2.0,35,48
731,17.0,35,59
732,3.0,35,61
733,21.0,35,62
739,6.0,35,92
740,2.0,35,93
741,2.0,35,94
742,5.0,35,95
744,16.0,36,5
747,19.0,36,14
748,22.0,36,15
749,8.0,36,16
754,2.0,36,41
758,2.0,36,63
760,57.0,36,85
762,3.0,36,95
763,2.0,37,4
768,27.0,37,25
769,18.0,37,42
772,34.0,37,54
773,3.0,37,56
774,6.0,37,61
775,5.0,37,70
780,6.0,37,89
784,2.0,38,1
785,3.0,38,9
792,5.0,38,43
793,5.0,38,44
795,22.0,38,58
796,2.0,38,66
797,6.0,38,68
802,46.0,39,37
804,3.0,39,48
805,11.0,39,49
806,46.0,39,50
807,3.0,39,57
811,2.0,39,80
813,19.0,39,85
814,6.0,39,86
815,13.0,39,87
819,8.0,40,16
820,3.0,40,20
824,14.0,40,38
825,2.0,40,39
828,7.0,40,54
830,28.0,40,64
832,12.0,40,68
833,4.0,40,77
835,32.0,40,90
836,4.0,40,91
839,2.0,41,28
841,16.0,41,32
843,2.0,41,44
846,5.0,41,54
847,13.0,41,58
849,12.0,41,73
851,26.0,41,84
852,2.0,41,85
853,2.0,42,3
854,2.0,42,11
856,18.0,42,16
857,3.0,42,21
858,24.0,42,22
859,2.0,42,24
861,4.0,42,34
864,4.0,42,53
865,22.0,42,55
866,5.0,42,63
868,10.0,42,67
871,2.0,42,88
872,2.0,42,89
874,22.0,43,2
876,6.0,43,10
883,2.0,43,56
885,5.0,43,61
886,2.0,43,64
887,2.0,43,74
888,9.0,43,75
889,59.0,43,77
890,7.0,43,78
894,5.0,44,8
895,6.0,44,15
896,5.0,44,18
900,2.0,44,50
901,5.0,44,51
902,2.0,44,52
903,5.0,44,54
904,6.0,44,59
905,55.0,44,60
910,14.0,44,72
911,4.0,44,73
913,3.0,44,79
916,4.0,44,88
918,2.0,44,90
920,5.0,45,14
923,2.0,45,25
931,10.0,45,58
932,8.0,45,66
933,8.0,45,68
937,5.0,45,87
938,2.0,45,88
940,3.0,46,4
942,2.0,46,23
943,4.0,46,28
944,2.0,46,31
945,2.0,46,34
946,3.0,46,39
951,3.0,46,57
952,3.0,46,58
953,13.0,46,59
958,2.0,47,2
959,3.0,47,3
960,2.0,47,4
961,3.0,47,12
962,2.0,47,13
964,2.0,47,17
966,2.0,47,20
968,4.0,47,43
969,4.0,47,52
970,5.0,47,53
972,4.0,47,56
973,19.0,47,58
974,2.0,47,59
976,31.0,47,64
977,4.0,47,78
978,12.0,47,80
981,5.0,47,89
982,11.0,47,91
986,3.0,48,35
987,2.0,48,36
989,22.0,48,50
991,101.0,48,53
992,5.0,48,61
993,11.0,48,65
995,4.0,48,75
996,18.0,48,77
998,2.0,48,80
999,13.0,48,90
1000,5.0,48,94
1002,5.0,49,5
1003,16.0,49,14
1005,9.0,49,20
1008,2.0,49,53
1009,2.0,49,54
1011,13.0,49,76
1013,5.0,49,90
1014,17.0,49,92
