OBJECTID_1,FID_XYHazardSce95,OBJECTID,Field1,Field2,Field3,FID_censustractclip_CensusData,censustractclip_GEO_ID,censustractclip_STATE,censustractclip_COUNTY,censustractclip_TRACT,censustractclip_NAME,censustractclip_LSAD,censustractclip_CENSUSAREA,CensusData_OBJECTID,CensusData_Id,CensusData_Id2,CensusData_Geography,CensusData_Estimate__Total,CensusData_Margin_of_Error__Total,CensusData_Median_income__dollars_,CensusData_Mean_income__dollars_
835,1903,1904,35.154000000000003,-89.724400000000003,0.190722000000000,157,1400000US47157021020,47,157,021020,210.20,Tract,25.300999999999998,143,1400000US47157021020,47157021020.000000000000000,"Census Tract 210.20, Shelby County, Tennessee",6577,406,80917,135309
836,1949,1950,35.154000000000003,-89.713399999999993,0.233047000000000,157,1400000US47157021020,47,157,021020,210.20,Tract,25.300999999999998,143,1400000US47157021020,47157021020.000000000000000,"Census Tract 210.20, Shelby County, Tennessee",6577,406,80917,135309
837,1995,1996,35.154000000000003,-89.702399999999997,0.193509000000000,157,1400000US47157021020,47,157,021020,210.20,Tract,25.300999999999998,143,1400000US47157021020,47157021020.000000000000000,"Census Tract 210.20, Shelby County, Tennessee",6577,406,80917,135309
838,2041,2042,35.154000000000003,-89.691299999999998,0.314633000000000,157,1400000US47157021020,47,157,021020,210.20,Tract,25.300999999999998,143,1400000US47157021020,47157021020.000000000000000,"Census Tract 210.20, Shelby County, Tennessee",6577,406,80917,135309
839,2087,2088,35.154000000000003,-89.680300000000003,0.184612000000000,157,1400000US47157021020,47,157,021020,210.20,Tract,25.300999999999998,143,1400000US47157021020,47157021020.000000000000000,"Census Tract 210.20, Shelby County, Tennessee",6577,406,80917,135309
840,2133,2134,35.154000000000003,-89.669300000000007,0.248918000000000,157,1400000US47157021020,47,157,021020,210.20,Tract,25.300999999999998,143,1400000US47157021020,47157021020.000000000000000,"Census Tract 210.20, Shelby County, Tennessee",6577,406,80917,135309
841,2179,2180,35.154000000000003,-89.658299999999997,0.355899000000000,157,1400000US47157021020,47,157,021020,210.20,Tract,25.300999999999998,143,1400000US47157021020,47157021020.000000000000000,"Census Tract 210.20, Shelby County, Tennessee",6577,406,80917,135309
842,2225,2226,35.154000000000003,-89.647300000000001,0.212136000000000,157,1400000US47157021020,47,157,021020,210.20,Tract,25.300999999999998,143,1400000US47157021020,47157021020.000000000000000,"Census Tract 210.20, Shelby County, Tennessee",6577,406,80917,135309
843,386,387,35.162999999999997,-90.087900000000005,0.036875000000000,129,1400000US47157020101,47,157,020101,201.01,Tract,53.273000000000003,108,1400000US47157020101,47157020101.000000000000000,"Census Tract 201.01, Shelby County, Tennessee",4131,699,30479,60872
844,432,433,35.162999999999997,-90.076899999999995,0.022747000000000,129,1400000US47157020101,47,157,020101,201.01,Tract,53.273000000000003,108,1400000US47157020101,47157020101.000000000000000,"Census Tract 201.01, Shelby County, Tennessee",4131,699,30479,60872
845,478,479,35.162999999999997,-90.065899999999999,0.021307000000000,129,1400000US47157020101,47,157,020101,201.01,Tract,53.273000000000003,108,1400000US47157020101,47157020101.000000000000000,"Census Tract 201.01, Shelby County, Tennessee",4131,699,30479,60872
846,524,525,35.162999999999997,-90.054800000000000,0.047195000000000,47,1400000US47157000100,47,157,000100,1,Tract,1.616000000000000,1,1400000US47157000100,47157000100.000000000000000,"Census Tract 1, Shelby County, Tennessee",6502,569,70184,106502
847,570,571,35.162999999999997,-90.043800000000005,0.036304000000000,103,1400000US47157002100,47,157,002100,21,Tract,0.298000000000000,18,1400000US47157002100,47157002100.000000000000000,"Census Tract 21, Shelby County, Tennessee",1355,198,17609,49767
848,616,617,35.162999999999997,-90.032799999999995,0.037356000000000,102,1400000US47157002000,47,157,002000,20,Tract,0.373000000000000,17,1400000US47157002000,47157002000.000000000000000,"Census Tract 20, Shelby County, Tennessee",1840,248,22926,28811
849,662,663,35.162999999999997,-90.021799999999999,0.030014000000000,101,1400000US47157001900,47,157,001900,19,Tract,0.357000000000000,16,1400000US47157001900,47157001900.000000000000000,"Census Tract 19, Shelby County, Tennessee",1322,221,25250,29429
850,708,709,35.162999999999997,-90.010800000000003,0.030229000000000,28,1400000US47157001700,47,157,001700,17,Tract,0.635000000000000,15,1400000US47157001700,47157001700.000000000000000,"Census Tract 17, Shelby County, Tennessee",3778,278,49747,65162
851,754,755,35.162999999999997,-89.999799999999993,0.036304000000000,28,1400000US47157001700,47,157,001700,17,Tract,0.635000000000000,15,1400000US47157001700,47157001700.000000000000000,"Census Tract 17, Shelby County, Tennessee",3778,278,49747,65162
852,800,801,35.162999999999997,-89.988699999999994,0.067174000000000,26,1400000US47157000700,47,157,000700,7,Tract,0.964000000000000,6,1400000US47157000700,47157000700.000000000000000,"Census Tract 7, Shelby County, Tennessee",4530,748,26009,38673
853,846,847,35.162999999999997,-89.977699999999999,0.051759000000000,52,1400000US47157000900,47,157,000900,9,Tract,0.913000000000000,8,1400000US47157000900,47157000900.000000000000000,"Census Tract 9, Shelby County, Tennessee",2600,400,15620,22580
854,892,893,35.162999999999997,-89.966700000000003,0.042854000000000,52,1400000US47157000900,47,157,000900,9,Tract,0.913000000000000,8,1400000US47157000900,47157000900.000000000000000,"Census Tract 9, Shelby County, Tennessee",2600,400,15620,22580
855,938,939,35.162999999999997,-89.955699999999993,0.072230000000000,93,1400000US47157011100,47,157,011100,111,Tract,1.575000000000000,100,1400000US47157011100,47157011100.000000000000000,"Census Tract 111, Shelby County, Tennessee",1602,255,19861,34997
856,984,985,35.162999999999997,-89.944699999999997,0.080338000000000,53,1400000US47157001100,47,157,001100,11,Tract,0.676000000000000,9,1400000US47157001100,47157001100.000000000000000,"Census Tract 11, Shelby County, Tennessee",3099,437,26571,35300
