GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HC01_EST_VC13,HC01_EST_VC15
Id,Id2,Geography,Estimate; Total,Margin of Error; Total,Median income (dollars),Mean income (dollars)
1400000US47157021111,47157021111,"Census Tract 211.11, Shelby County, Tennessee",4131,330,42194,52367
1400000US47157021112,47157021112,"Census Tract 211.12, Shelby County, Tennessee",6377,760,51702,52141
1400000US47157021113,47157021113,"Census Tract 211.13, Shelby County, Tennessee",3800,406,61809,64466
1400000US47157021121,47157021121,"Census Tract 211.21, Shelby County, Tennessee",5212,545,40107,66090
1400000US47157021122,47157021122,"Census Tract 211.22, Shelby County, Tennessee",5733,449,44432,51701
1400000US47157021124,47157021124,"Census Tract 211.24, Shelby County, Tennessee",8875,747,58361,64159
1400000US47157021125,47157021125,"Census Tract 211.25, Shelby County, Tennessee",4335,313,69000,73380
1400000US47157021126,47157021126,"Census Tract 211.26, Shelby County, Tennessee",4238,363,73381,78841
1400000US47157021135,47157021135,"Census Tract 211.35, Shelby County, Tennessee",7593,1051,52561,62310
1400000US47157021136,47157021136,"Census Tract 211.36, Shelby County, Tennessee",5301,361,94868,120338
1400000US47157021137,47157021137,"Census Tract 211.37, Shelby County, Tennessee",7546,931,62325,78565
1400000US47157021138,47157021138,"Census Tract 211.38, Shelby County, Tennessee",3449,374,79034,99086
1400000US47157021139,47157021139,"Census Tract 211.39, Shelby County, Tennessee",4254,393,102697,126332
1400000US47157021140,47157021140,"Census Tract 211.40, Shelby County, Tennessee",5064,535,73472,80454
1400000US47157021141,47157021141,"Census Tract 211.41, Shelby County, Tennessee",7450,515,73962,74735
1400000US47157021142,47157021142,"Census Tract 211.42, Shelby County, Tennessee",3479,426,61250,71190
1400000US47157021200,47157021200,"Census Tract 212, Shelby County, Tennessee",3958,235,0,0
1400000US47157021311,47157021311,"Census Tract 213.11, Shelby County, Tennessee",4506,415,112432,234813
1400000US47157021312,47157021312,"Census Tract 213.12, Shelby County, Tennessee",2155,203,59130,88939
1400000US47157021320,47157021320,"Census Tract 213.20, Shelby County, Tennessee",6083,602,66830,109459
1400000US47157021331,47157021331,"Census Tract 213.31, Shelby County, Tennessee",3099,339,60536,66620
1400000US47157021333,47157021333,"Census Tract 213.33, Shelby County, Tennessee",4276,443,55795,81717
1400000US47157021334,47157021334,"Census Tract 213.34, Shelby County, Tennessee",3988,505,39614,55185
1400000US47157021341,47157021341,"Census Tract 213.41, Shelby County, Tennessee",5576,345,125060,161829
1400000US47157021342,47157021342,"Census Tract 213.42, Shelby County, Tennessee",9531,658,60117,113986
1400000US47157021351,47157021351,"Census Tract 213.51, Shelby County, Tennessee",4527,389,81897,92914
1400000US47157021352,47157021352,"Census Tract 213.52, Shelby County, Tennessee",6582,393,102294,132606
1400000US47157021353,47157021353,"Census Tract 213.53, Shelby County, Tennessee",9500,390,154947,203580
1400000US47157021410,47157021410,"Census Tract 214.10, Shelby County, Tennessee",2757,204,108393,130515
1400000US47157021420,47157021420,"Census Tract 214.20, Shelby County, Tennessee",3173,205,101200,127014
1400000US47157021430,47157021430,"Census Tract 214.30, Shelby County, Tennessee",4179,312,96284,119954
1400000US47157021510,47157021510,"Census Tract 215.10, Shelby County, Tennessee",8415,699,61203,74503
1400000US47157021520,47157021520,"Census Tract 215.20, Shelby County, Tennessee",12217,886,104225,120133
1400000US47157021530,47157021530,"Census Tract 215.30, Shelby County, Tennessee",5064,290,114554,150747
1400000US47157021540,47157021540,"Census Tract 215.40, Shelby County, Tennessee",12294,488,139356,153557
1400000US47157021611,47157021611,"Census Tract 216.11, Shelby County, Tennessee",6609,439,89074,104112
1400000US47157021612,47157021612,"Census Tract 216.12, Shelby County, Tennessee",4868,233,100652,116236
1400000US47157021613,47157021613,"Census Tract 216.13, Shelby County, Tennessee",4734,352,113333,130077
1400000US47157021620,47157021620,"Census Tract 216.20, Shelby County, Tennessee",3452,590,46058,75326
1400000US47157021710,47157021710,"Census Tract 217.10, Shelby County, Tennessee",2874,327,28848,38976
