Subspace_ID,Area (square km),g
527,3.010509724,3011
528,3.009833744,3010
529,3.00915806,3009
530,3.008482673,3008
531,3.007807581,3008
532,3.007132785,3007
533,3.006458285,3006
534,3.00578408,3006
535,3.005110171,3005
536,3.004436556,3004
537,3.003763236,3004
538,3.00309021,3003
539,0.0471124,47
540,3.396354974,3396
541,3.257997085,3258
542,3.007100719,3007
543,3.758039831,3758
544,4.633965104,4634
545,3.474599667,3475
546,3.724192387,3724
547,1.314210575,1314
548,3.691739151,3692
549,4.629240095,4629
550,4.155398447,4155
551,4.626201304,4626
552,4.625121702,4625
553,3.467975269,3468
554,2.99872062,2999
555,3.466575713,3467
556,4.621011582,4621
557,3.995665376,3996
558,3.994663852,3995
559,3.993874081,3994
560,3.992926249,3993
561,3.973008774,3973
562,0.0050765,5
563,4.194248274,4194
564,3.717117499,3717
565,5.790937942,5791
566,5.106348143,5106
567,2.110867128,2111
568,2.291059321,2291
569,1.994850227,1995
570,2.365408616,2365
571,3.265044279,3265
572,4.146546112,4147
573,3.627389457,3627
574,2.799852045,2800
575,3.500687141,3501
576,4.337067411,4337
577,3.925387957,3925
578,3.901818543,3902
579,4.074785413,4075
580,4.239425794,4239
581,4.399517691,4400
582,2.914271783,2914
583,4.005622971,4006
584,4.01963E-06,0
585,2.733385691,2733
586,2.637598943,2638
587,2.131368672,2131
588,4.140209953,4140
