ID,Length (ft),Length (km),Arc Type,Start Node,End Node,u_t0,f_t0,c_t0,u_t1,f_t1,c_t1,u_t2,f_t2,c_t2,u_t3,f_t3,c_t3,u_t4,f_t4,c_t4,u_t5,f_t5,c_t5,u_t6,f_t6,c_t6,u_t7,f_t7,c_t7,u_t8,f_t8,c_t8,u_t9,f_t9,c_t9,u_t10,f_t10,c_t10
36,23911.53625,7.288,Transmission Line,50,20,21.4,23912,23912,21.4,23912,23912,21.4,23912,23912,21.4,23912,23912,21.4,23912,23912,21.4,23912,23912,21.4,23912,23912,21.4,23912,23912,21.4,23912,23912,21.4,23912,23912,21.4,23912,23912
37,17529.69922,5.343,Transmission Line,61,50,69.6,17530,17530,69.6,17530,17530,69.6,17530,17530,69.6,17530,17530,69.6,17530,17530,69.6,17530,17530,69.6,17530,17530,69.6,17530,17530,69.6,17530,17530,69.6,17530,17530,69.6,17530,17530
38,8274.805019,2.522,Transmission Line,37,31,1,8275,8275,1,8275,8275,1,8275,8275,1,8275,8275,1,8275,8275,1,8275,8275,1,8275,8275,1,8275,8275,1,8275,8275,1,8275,8275,1,8275,8275
39,13664.34579,4.165,Transmission Line,64,37,27.2,13664,13664,27.2,13664,13664,27.2,13664,13664,27.2,13664,13664,27.2,13664,13664,27.2,13664,13664,27.2,13664,13664,27.2,13664,13664,27.2,13664,13664,27.2,13664,13664,27.2,13664,13664
40,14311.35579,4.362,Transmission Line,5,64,27.2,14311,14311,27.2,14311,14311,27.2,14311,14311,27.2,14311,14311,27.2,14311,14311,27.2,14311,14311,27.2,14311,14311,27.2,14311,14311,27.2,14311,14311,27.2,14311,14311,27.2,14311,14311
41,14273.74133,4.351,Transmission Line,5,64,27.2,14274,14274,27.2,14274,14274,27.2,14274,14274,27.2,14274,14274,27.2,14274,14274,27.2,14274,14274,27.2,14274,14274,27.2,14274,14274,27.2,14274,14274,27.2,14274,14274,27.2,14274,14274
42,27745.1464,8.457,Transmission Line,61,13,116.8,27745,27745,116.8,27745,27745,116.8,27745,27745,116.8,27745,27745,116.8,27745,27745,116.8,27745,27745,116.8,27745,27745,116.8,27745,27745,116.8,27745,27745,116.8,27745,27745,116.8,27745,27745
43,18947.99004,5.775,Transmission Line,13,11,36.7,18948,18948,36.7,18948,18948,36.7,18948,18948,36.7,18948,18948,36.7,18948,18948,36.7,18948,18948,36.7,18948,18948,36.7,18948,18948,36.7,18948,18948,36.7,18948,18948,36.7,18948,18948
44,26896.24299,8.198,Transmission Line,74,4,35.2,26896,26896,35.2,26896,26896,35.2,26896,26896,35.2,26896,26896,35.2,26896,26896,35.2,26896,26896,35.2,26896,26896,35.2,26896,26896,35.2,26896,26896,35.2,26896,26896,35.2,26896,26896
45,14610.65442,4.453,Transmission Line,69,67,1,14611,14611,1,14611,14611,1,14611,14611,1,14611,14611,1,14611,14611,1,14611,14611,1,14611,14611,1,14611,14611,1,14611,14611,1,14611,14611,1,14611,14611
46,46585.65596,14.199,Transmission Line,70,72,1,46586,46586,1,46586,46586,1,46586,46586,1,46586,46586,1,46586,46586,1,46586,46586,1,46586,46586,1,46586,46586,1,46586,46586,1,46586,46586,1,46586,46586
47,9260.251824,2.823,Transmission Line,60,1,129,9260,9260,129,9260,9260,129,9260,9260,129,9260,9260,129,9260,9260,129,9260,9260,129,9260,9260,129,9260,9260,129,9260,9260,129,9260,9260,129,9260,9260
48,9634.700099,2.937,Transmission Line,60,12,129,9635,9635,129,9635,9635,129,9635,9635,129,9635,9635,129,9635,9635,129,9635,9635,129,9635,9635,129,9635,9635,129,9635,9635,129,9635,9635,129,9635,9635
49,7098.513352,2.164,Transmission Line,58,60,1,7099,7099,1,7099,7099,1,7099,7099,1,7099,7099,1,7099,7099,1,7099,7099,1,7099,7099,1,7099,7099,1,7099,7099,1,7099,7099,1,7099,7099
50,2913.694325,0.888,Transmission Line,58,30,55.2,2914,2914,55.2,2914,2914,55.2,2914,2914,55.2,2914,2914,55.2,2914,2914,55.2,2914,2914,55.2,2914,2914,55.2,2914,2914,55.2,2914,2914,55.2,2914,2914,55.2,2914,2914
51,18309.67451,5.581,Transmission Line,14,2,79.9,18310,18310,79.9,18310,18310,79.9,18310,18310,79.9,18310,18310,79.9,18310,18310,79.9,18310,18310,79.9,18310,18310,79.9,18310,18310,79.9,18310,18310,79.9,18310,18310,79.9,18310,18310
52,10124.98152,3.086,Transmission Line,2,15,93,10125,10125,93,10125,10125,93,10125,10125,93,10125,10125,93,10125,10125,93,10125,10125,93,10125,10125,93,10125,10125,93,10125,10125,93,10125,10125,93,10125,10125
53,3798.87749,1.158,Transmission Line,15,59,46.5,3799,3799,46.5,3799,3799,46.5,3799,3799,46.5,3799,3799,46.5,3799,3799,46.5,3799,3799,46.5,3799,3799,46.5,3799,3799,46.5,3799,3799,46.5,3799,3799,46.5,3799,3799
54,15966.48208,4.867,Transmission Line,27,59,46.5,15966,15966,46.5,15966,15966,46.5,15966,15966,46.5,15966,15966,46.5,15966,15966,46.5,15966,15966,46.5,15966,15966,46.5,15966,15966,46.5,15966,15966,46.5,15966,15966,46.5,15966,15966
55,13511.24289,4.118,Transmission Line,59,14,1,13511,13511,1,13511,13511,1,13511,13511,1,13511,13511,1,13511,13511,1,13511,13511,1,13511,13511,1,13511,13511,1,13511,13511,1,13511,13511,1,13511,13511
56,12078.72248,3.682,Transmission Line,32,30,21.9,12079,12079,21.9,12079,12079,21.9,12079,12079,21.9,12079,12079,21.9,12079,12079,21.9,12079,12079,21.9,12079,12079,21.9,12079,12079,21.9,12079,12079,21.9,12079,12079,21.9,12079,12079
57,19343.49868,5.896,Transmission Line,32,31,24.8,19343,19343,24.8,19343,19343,24.8,19343,19343,24.8,19343,19343,24.8,19343,19343,24.8,19343,19343,24.8,19343,19343,24.8,19343,19343,24.8,19343,19343,24.8,19343,19343,24.8,19343,19343
58,14550.3447,4.435,Transmission Line,19,21,43.5,14550,14550,43.5,14550,14550,43.5,14550,14550,43.5,14550,14550,43.5,14550,14550,43.5,14550,14550,43.5,14550,14550,43.5,14550,14550,43.5,14550,14550,43.5,14550,14550,43.5,14550,14550
59,14139.12009,4.31,Transmission Line,52,18,24.3,14139,14139,24.3,14139,14139,24.3,14139,14139,24.3,14139,14139,24.3,14139,14139,24.3,14139,14139,24.3,14139,14139,24.3,14139,14139,24.3,14139,14139,24.3,14139,14139,24.3,14139,14139
60,2567.926355,0.783,Transmission Line,52,53,30.8,2568,2568,30.8,2568,2568,30.8,2568,2568,30.8,2568,2568,30.8,2568,2568,30.8,2568,2568,30.8,2568,2568,30.8,2568,2568,30.8,2568,2568,30.8,2568,2568,30.8,2568,2568
61,4707.183429,1.435,Transmission Line,53,16,18.4,4707,4707,18.4,4707,4707,18.4,4707,4707,18.4,4707,4707,18.4,4707,4707,18.4,4707,4707,18.4,4707,4707,18.4,4707,4707,18.4,4707,4707,18.4,4707,4707,18.4,4707,4707
62,17278.65379,5.267,Transmission Line,53,2,49.2,17279,17279,49.2,17279,17279,49.2,17279,17279,49.2,17279,17279,49.2,17279,17279,49.2,17279,17279,49.2,17279,17279,49.2,17279,17279,49.2,17279,17279,49.2,17279,17279,49.2,17279,17279
63,2238.580304,0.682,Transmission Line,51,52,6.5,2239,2239,6.5,2239,2239,6.5,2239,2239,6.5,2239,2239,6.5,2239,2239,6.5,2239,2239,6.5,2239,2239,6.5,2239,2239,6.5,2239,2239,6.5,2239,2239,6.5,2239,2239
64,4027.570514,1.228,Transmission Line,29,51,6.5,4028,4028,6.5,4028,4028,6.5,4028,4028,6.5,4028,4028,6.5,4028,4028,6.5,4028,4028,6.5,4028,4028,6.5,4028,4028,6.5,4028,4028,6.5,4028,4028,6.5,4028,4028
65,24786.03385,7.555,Transmission Line,0,51,1,24786,24786,1,24786,24786,1,24786,24786,1,24786,24786,1,24786,24786,1,24786,24786,1,24786,24786,1,24786,24786,1,24786,24786,1,24786,24786,1,24786,24786
66,10028.32375,3.057,Transmission Line,0,17,1,10028,10028,1,10028,10028,1,10028,10028,1,10028,10028,1,10028,10028,1,10028,10028,1,10028,10028,1,10028,10028,1,10028,10028,1,10028,10028,1,10028,10028
67,13106.09094,3.995,Transmission Line,0,56,41.9,13106,13106,41.9,13106,13106,41.9,13106,13106,41.9,13106,13106,41.9,13106,13106,41.9,13106,13106,41.9,13106,13106,41.9,13106,13106,41.9,13106,13106,41.9,13106,13106,41.9,13106,13106
68,11373.18122,3.467,Transmission Line,28,56,14.4,11373,11373,14.4,11373,11373,14.4,11373,11373,14.4,11373,11373,14.4,11373,11373,14.4,11373,11373,14.4,11373,11373,14.4,11373,11373,14.4,11373,11373,14.4,11373,11373,14.4,11373,11373
