ID,Length (ft),Length (km),Arc Type,Start Node,End Node,u_t0,f_t0,c_t0,u_t1,f_t1,c_t1,u_t2,f_t2,c_t2,u_t3,f_t3,c_t3,u_t4,f_t4,c_t4,u_t5,f_t5,c_t5,u_t6,f_t6,c_t6,u_t7,f_t7,c_t7,u_t8,f_t8,c_t8,u_t9,f_t9,c_t9,u_t10,f_t10,c_t10
34,30213.48113,9.209,Water pipe,32,28,12.114,30213,30213,12.114,30213,30213,12.114,30213,30213,12.114,30213,30213,12.114,30213,30213,12.114,30213,30213,12.114,30213,30213,12.114,30213,30213,12.114,30213,30213,12.114,30213,30213,12.114,30213,30213
35,25670.04056,7.824,Water pipe,23,6,24.36,25670,25670,24.36,25670,25670,24.36,25670,25670,24.36,25670,25670,24.36,25670,25670,24.36,25670,25670,24.36,25670,25670,24.36,25670,25670,24.36,25670,25670,24.36,25670,25670,24.36,25670,25670
36,30235.15008,9.216,Water pipe,25,23,1,30235,30235,1,30235,30235,1,30235,30235,1,30235,30235,1,30235,30235,1,30235,30235,1,30235,30235,1,30235,30235,1,30235,30235,1,30235,30235,1,30235,30235
37,34185.40745,10.42,Water pipe,29,6,1,34185,34185,1,34185,34185,1,34185,34185,1,34185,34185,1,34185,34185,1,34185,34185,1,34185,34185,1,34185,34185,1,34185,34185,1,34185,34185,1,34185,34185
38,15236.63976,4.644,Water pipe,31,6,21.403,15237,15237,21.403,15237,15237,21.403,15237,15237,21.403,15237,15237,21.403,15237,15237,21.403,15237,15237,21.403,15237,15237,21.403,15237,15237,21.403,15237,15237,21.403,15237,15237,21.403,15237,15237
39,40263.23634,12.272,Water pipe,24,8,1,40263,40263,1,40263,40263,1,40263,40263,1,40263,40263,1,40263,40263,1,40263,40263,1,40263,40263,1,40263,40263,1,40263,40263,1,40263,40263,1,40263,40263
40,29390.69,8.958,Water pipe,27,8,46.032,29391,29391,46.032,29391,29391,46.032,29391,29391,46.032,29391,29391,46.032,29391,29391,46.032,29391,29391,46.032,29391,29391,46.032,29391,29391,46.032,29391,29391,46.032,29391,29391,46.032,29391,29391
41,28420.55881,8.663,Water pipe,9,8,1,28421,28421,1,28421,28421,1,28421,28421,1,28421,28421,1,28421,28421,1,28421,28421,1,28421,28421,1,28421,28421,1,28421,28421,1,28421,28421,1,28421,28421
42,17439.54808,5.316,Water pipe,34,8,80.295,17440,17440,80.295,17440,17440,80.295,17440,17440,80.295,17440,17440,80.295,17440,17440,80.295,17440,17440,80.295,17440,17440,80.295,17440,17440,80.295,17440,17440,80.295,17440,17440,80.295,17440,17440
43,37228.21612,11.347,Water pipe,10,34,15.589,37228,37228,15.589,37228,37228,15.589,37228,37228,15.589,37228,37228,15.589,37228,37228,15.589,37228,37228,15.589,37228,37228,15.589,37228,37228,15.589,37228,37228,15.589,37228,37228,15.589,37228,37228
44,34126.69719,10.402,Water pipe,9,31,12.342,34127,34127,12.342,34127,34127,12.342,34127,34127,12.342,34127,34127,12.342,34127,34127,12.342,34127,34127,12.342,34127,34127,12.342,34127,34127,12.342,34127,34127,12.342,34127,34127,12.342,34127,34127
45,40120.86825,12.229,Water pipe,35,31,20.564,40121,40121,20.564,40121,40121,20.564,40121,40121,20.564,40121,40121,20.564,40121,40121,20.564,40121,40121,20.564,40121,40121,20.564,40121,40121,20.564,40121,40121,20.564,40121,40121,20.564,40121,40121
46,17253.17993,5.259,Water pipe,29,9,58.405,17253,17253,58.405,17253,17253,58.405,17253,17253,58.405,17253,17253,58.405,17253,17253,58.405,17253,17253,58.405,17253,17253,58.405,17253,17253,58.405,17253,17253,58.405,17253,17253,58.405,17253,17253
47,7586.385454,2.312,Water pipe,10,33,38.957,7586,7586,38.957,7586,7586,38.957,7586,7586,38.957,7586,7586,38.957,7586,7586,38.957,7586,7586,38.957,7586,7586,38.957,7586,7586,38.957,7586,7586,38.957,7586,7586,38.957,7586,7586
48,16175.90468,4.93,Water pipe,33,32,1,16176,16176,1,16176,16176,1,16176,16176,1,16176,16176,1,16176,16176,1,16176,16176,1,16176,16176,1,16176,16176,1,16176,16176,1,16176,16176,1,16176,16176
49,9661.968896,2.945,Water pipe,36,32,9.44,9662,9662,9.44,9662,9662,9.44,9662,9662,9.44,9662,9662,9.44,9662,9662,9.44,9662,9662,9.44,9662,9662,9.44,9662,9662,9.44,9662,9662,9.44,9662,9662,9.44,9662,9662
50,14453.37737,4.405,Water pipe,38,10,23.547,14453,14453,23.547,14453,14453,23.547,14453,14453,23.547,14453,14453,23.547,14453,14453,23.547,14453,14453,23.547,14453,14453,23.547,14453,14453,23.547,14453,14453,23.547,14453,14453,23.547,14453,14453
51,33141.65967,10.102,Water pipe,38,36,1,33142,33142,1,33142,33142,1,33142,33142,1,33142,33142,1,33142,33142,1,33142,33142,1,33142,33142,1,33142,33142,1,33142,33142,1,33142,33142,1,33142,33142
52,36574.06857,11.148,Water pipe,12,36,15.178,36574,36574,15.178,36574,36574,15.178,36574,36574,15.178,36574,36574,15.178,36574,36574,15.178,36574,36574,15.178,36574,36574,15.178,36574,36574,15.178,36574,36574,15.178,36574,36574,15.178,36574,36574
53,32578.70723,9.93,Water pipe,44,12,6.326,32579,32579,6.326,32579,32579,6.326,32579,32579,6.326,32579,32579,6.326,32579,32579,6.326,32579,32579,6.326,32579,32579,6.326,32579,32579,6.326,32579,32579,6.326,32579,32579,6.326,32579,32579
54,46050.65327,14.036,Water pipe,39,38,7.551,46051,46051,7.551,46051,46051,7.551,46051,46051,7.551,46051,46051,7.551,46051,46051,7.551,46051,46051,7.551,46051,46051,7.551,46051,46051,7.551,46051,46051,7.551,46051,46051,7.551,46051,46051
55,19410.3882,5.916,Water pipe,40,11,12.536,19410,19410,12.536,19410,19410,12.536,19410,19410,12.536,19410,19410,12.536,19410,19410,12.536,19410,19410,12.536,19410,19410,12.536,19410,19410,12.536,19410,19410,12.536,19410,19410,12.536,19410,19410
56,20839.84998,6.352,Water pipe,48,11,1.576,20840,20840,1.576,20840,20840,1.576,20840,20840,1.576,20840,20840,1.576,20840,20840,1.576,20840,20840,1.576,20840,20840,1.576,20840,20840,1.576,20840,20840,1.576,20840,20840,1.576,20840,20840
57,21806.65617,6.647,Water pipe,13,48,1,21807,21807,1,21807,21807,1,21807,21807,1,21807,21807,1,21807,21807,1,21807,21807,1,21807,21807,1,21807,21807,1,21807,21807,1,21807,21807,1,21807,21807
58,7141.73569,2.177,Water pipe,37,40,1,7142,7142,1,7142,7142,1,7142,7142,1,7142,7142,1,7142,7142,1,7142,7142,1,7142,7142,1,7142,7142,1,7142,7142,1,7142,7142,1,7142,7142
59,21855.62566,6.662,Water pipe,11,37,1,21856,21856,1,21856,21856,1,21856,21856,1,21856,21856,1,21856,21856,1,21856,21856,1,21856,21856,1,21856,21856,1,21856,21856,1,21856,21856,1,21856,21856
60,16592.29014,5.057,Water pipe,13,40,10.982,16592,16592,10.982,16592,16592,10.982,16592,16592,10.982,16592,16592,10.982,16592,16592,10.982,16592,16592,10.982,16592,16592,10.982,16592,16592,10.982,16592,16592,10.982,16592,16592,10.982,16592,16592
61,6364.609166,1.94,Water pipe,43,45,7.941,6365,6365,7.941,6365,6365,7.941,6365,6365,7.941,6365,6365,7.941,6365,6365,7.941,6365,6365,7.941,6365,6365,7.941,6365,6365,7.941,6365,6365,7.941,6365,6365,7.941,6365,6365
62,4927.657679,1.502,Water pipe,44,42,3.591,4928,4928,3.591,4928,4928,3.591,4928,4928,3.591,4928,4928,3.591,4928,4928,3.591,4928,4928,3.591,4928,4928,3.591,4928,4928,3.591,4928,4928,3.591,4928,4928,3.591,4928,4928
63,13732.24981,4.186,Water pipe,42,43,1,13732,13732,1,13732,13732,1,13732,13732,1,13732,13732,1,13732,13732,1,13732,13732,1,13732,13732,1,13732,13732,1,13732,13732,1,13732,13732,1,13732,13732
64,29826.23143,9.091,Water pipe,14,45,21.462,29826,29826,21.462,29826,29826,21.462,29826,29826,21.462,29826,29826,21.462,29826,29826,21.462,29826,29826,21.462,29826,29826,21.462,29826,29826,21.462,29826,29826,21.462,29826,29826,21.462,29826,29826
65,10983.10068,3.348,Water pipe,45,44,11.094,10983,10983,11.094,10983,10983,11.094,10983,10983,11.094,10983,10983,11.094,10983,10983,11.094,10983,10983,11.094,10983,10983,11.094,10983,10983,11.094,10983,10983,11.094,10983,10983,11.094,10983,10983
66,6348.229899,1.935,Water pipe,46,44,1,6348,6348,1,6348,6348,1,6348,6348,1,6348,6348,1,6348,6348,1,6348,6348,1,6348,6348,1,6348,6348,1,6348,6348,1,6348,6348,1,6348,6348
67,12816.7394,3.907,Water pipe,47,46,1,12817,12817,1,12817,12817,1,12817,12817,1,12817,12817,1,12817,12817,1,12817,12817,1,12817,12817,1,12817,12817,1,12817,12817,1,12817,12817,1,12817,12817
68,8359.61402,2.548,Water pipe,45,47,1,8360,8360,1,8360,8360,1,8360,8360,1,8360,8360,1,8360,8360,1,8360,8360,1,8360,8360,1,8360,8360,1,8360,8360,1,8360,8360,1,8360,8360
69,11642.53856,3.549,Water pipe,41,14,3.098,11643,11643,3.098,11643,11643,3.098,11643,11643,3.098,11643,11643,3.098,11643,11643,3.098,11643,11643,3.098,11643,11643,3.098,11643,11643,3.098,11643,11643,3.098,11643,11643,3.098,11643,11643
70,26094.63565,7.954,Water pipe,13,14,12.601,26095,26095,12.601,26095,26095,12.601,26095,26095,12.601,26095,26095,12.601,26095,26095,12.601,26095,26095,12.601,26095,26095,12.601,26095,26095,12.601,26095,26095,12.601,26095,26095,12.601,26095,26095
